"","day","month","trips"
"1",1,"Apr",14546
"2",1,"May",23375
"3",1,"Jun",15967
"4",1,"Jul",21228
"5",1,"Aug",32353
"6",1,"Sep",19961
"7",2,"Apr",17474
"8",2,"May",24235
"9",2,"Jun",17503
"10",2,"Jul",26480
"11",2,"Aug",28678
"12",2,"Sep",28831
"13",3,"Apr",20701
"14",3,"May",22234
"15",3,"Jun",22674
"16",3,"Jul",21597
"17",3,"Aug",23146
"18",3,"Sep",32631
"19",4,"Apr",26714
"20",4,"May",13918
"21",4,"Jun",22831
"22",4,"Jul",14148
"23",4,"Aug",24952
"24",4,"Sep",38360
"25",5,"Apr",19521
"26",5,"May",17859
"27",5,"Jun",28371
"28",5,"Jul",10890
"29",5,"Aug",28094
"30",5,"Sep",42319
"31",6,"Apr",13445
"32",6,"May",19300
"33",6,"Jun",24683
"34",6,"Jul",11443
"35",6,"Aug",30495
"36",6,"Sep",40520
"37",7,"Apr",19550
"38",7,"May",21891
"39",7,"Jun",20889
"40",7,"Jul",18280
"41",7,"Aug",32759
"42",7,"Sep",30134
"43",8,"Apr",16188
"44",8,"May",27513
"45",8,"Jun",15749
"46",8,"Jul",25763
"47",8,"Aug",30411
"48",8,"Sep",30360
"49",9,"Apr",16843
"50",9,"May",26385
"51",9,"Jun",23244
"52",9,"Jul",27817
"53",9,"Aug",26286
"54",9,"Sep",34560
"55",10,"Apr",20041
"56",10,"May",22550
"57",10,"Jun",22874
"58",10,"Jul",30541
"59",10,"Aug",20584
"60",10,"Sep",35910
"61",11,"Apr",20420
"62",11,"May",14901
"63",11,"Jun",25716
"64",11,"Jul",28752
"65",11,"Aug",22632
"66",11,"Sep",36439
"67",12,"Apr",18170
"68",12,"May",17470
"69",12,"Jun",29844
"70",12,"Jul",25936
"71",12,"Aug",29646
"72",12,"Sep",39540
"73",13,"Apr",12112
"74",13,"May",19498
"75",13,"Jun",31207
"76",13,"Jul",21082
"77",13,"Aug",29788
"78",13,"Sep",43205
"79",14,"Apr",12674
"80",14,"May",22218
"81",14,"Jun",19327
"82",14,"Jul",27350
"83",14,"Aug",30457
"84",14,"Sep",28122
"85",15,"Apr",20641
"86",15,"May",26301
"87",15,"Jun",14511
"88",15,"Jul",33845
"89",15,"Aug",28974
"90",15,"Sep",29454
"91",16,"Apr",17717
"92",16,"May",32493
"93",16,"Jun",17778
"94",16,"Jul",28607
"95",16,"Aug",26234
"96",16,"Sep",36092
"97",17,"Apr",20973
"98",17,"May",22294
"99",17,"Jun",21807
"100",17,"Jul",30710
"101",17,"Aug",21209
"102",17,"Sep",35531
"103",18,"Apr",18074
"104",18,"May",16508
"105",18,"Jun",24647
"106",18,"Jul",29860
"107",18,"Aug",21956
"108",18,"Sep",40274
"109",19,"Apr",14602
"110",19,"May",18315
"111",19,"Jun",28594
"112",19,"Jul",25726
"113",19,"Aug",24834
"114",19,"Sep",41017
"115",20,"Apr",11017
"116",20,"May",20860
"117",20,"Jun",24271
"118",20,"Jul",21212
"119",20,"Aug",27955
"120",20,"Sep",38864
"121",21,"Apr",13162
"122",21,"May",23508
"123",21,"Jun",19940
"124",21,"Jul",23578
"125",21,"Aug",32304
"126",21,"Sep",28620
"127",22,"Apr",16975
"128",22,"May",26802
"129",22,"Jun",16322
"130",22,"Jul",29029
"131",22,"Aug",29512
"132",22,"Sep",28312
"133",23,"Apr",20346
"134",23,"May",26465
"135",23,"Jun",17735
"136",23,"Jul",34073
"137",23,"Aug",27097
"138",23,"Sep",30316
"139",24,"Apr",23352
"140",24,"May",14651
"141",24,"Jun",20779
"142",24,"Jul",32050
"143",24,"Aug",22036
"144",24,"Sep",31301
"145",25,"Apr",25095
"146",25,"May",10841
"147",25,"Jun",26460
"148",25,"Jul",29975
"149",25,"Aug",22093
"150",25,"Sep",38203
"151",26,"Apr",24925
"152",26,"May",10202
"153",26,"Jun",28516
"154",26,"Jul",27708
"155",26,"Aug",24550
"156",26,"Sep",37504
"157",27,"Apr",14677
"158",27,"May",17004
"159",27,"Jun",24895
"160",27,"Jul",22590
"161",27,"Aug",27018
"162",27,"Sep",39468
"163",28,"Apr",15475
"164",28,"May",22240
"165",28,"Jun",21208
"166",28,"Jul",23981
"167",28,"Aug",28597
"168",28,"Sep",29656
"169",29,"Apr",22835
"170",29,"May",24930
"171",29,"Jun",17107
"172",29,"Jul",27589
"173",29,"Aug",27424
"174",29,"Sep",29201
"175",30,"Apr",36251
"176",30,"May",24413
"177",30,"Jun",18395
"178",30,"Jul",30740
"179",30,"Aug",23930
"180",30,"Sep",33431
"181",31,"May",21261
"182",31,"Jul",33541
"183",31,"Aug",23271
