"","month","week","trips"
"1",4,13,11207
"2",4,14,133047
"3",4,15,117972
"4",4,16,115207
"5",4,17,144673
"6",4,18,42410
"7",5,18,116004
"8",5,19,149901
"9",5,20,158820
"10",5,21,131297
"11",5,22,96413
"12",6,22,50838
"13",6,23,158238
"14",6,24,160139
"15",6,25,152530
"16",6,26,142099
"17",7,26,15984
"18",7,27,127098
"19",7,28,192082
"20",7,29,191176
"21",7,30,197823
"22",7,31,71958
"23",8,31,129656
"24",8,32,192215
"25",8,33,184839
"26",8,34,185778
"27",8,35,136787
"28",9,35,41933
"29",9,36,246988
"30",9,37,249442
"31",9,38,242679
"32",9,39,239136
"33",9,40,7958
