"","day_of_week","month","trips"
"1","Friday","Apr",87663
"2","Monday","Apr",56578
"3","Saturday","Apr",78652
"4","Sunday","Apr",69773
"5","Thursday","Apr",87843
"6","Tuesday","Apr",80966
"7","Wednesday","Apr",103041
"8","Friday","May",126718
"9","Monday","May",61121
"10","Saturday","May",112576
"11","Sunday","May",78660
"12","Thursday","May",115506
"13","Tuesday","May",72473
"14","Wednesday","May",85381
"15","Friday","Jun",111086
"16","Monday","Jun",92004
"17","Saturday","Jun",83777
"18","Sunday","Jun",88602
"19","Thursday","Jun",107048
"20","Tuesday","Jun",86350
"21","Wednesday","Jun",94977
"22","Friday","Jul",116159
"23","Monday","Jul",85715
"24","Saturday","Jul",93593
"25","Sunday","Jul",87533
"26","Thursday","Jul",145741
"27","Tuesday","Jul",124679
"28","Wednesday","Jul",142701
"29","Friday","Aug",144129
"30","Monday","Aug",95710
"31","Saturday","Aug",133177
"32","Sunday","Aug",127513
"33","Thursday","Aug",116268
"34","Tuesday","Aug",99938
"35","Wednesday","Aug",112540
"36","Friday","Sep",151063
"37","Monday","Sep",129165
"38","Saturday","Sep",161705
"39","Sunday","Sep",146139
"40","Thursday","Sep",145287
"41","Tuesday","Sep",155341
"42","Wednesday","Sep",139436
